barcodes,celltype
573,HSPC
1440,HSPC
394,Monocyte
1972,HSPC
1450,Neutrophil
5624,Monocyte
1652,Neutrophil
1110,HSPC
3529,Neutrophil
5725,HSPC
2553,Baso
3438,HSPC
1041,HSPC
1972,Baso
1700,Monocyte
3887,Monocyte
2013,Neutrophil
3339,Neutrophil
1652,Neutrophil
801,HSPC
5725,Neutrophil
3364,Erythroid
1440,HSPC
801,Monocyte
4678,HSPC
4287,Monocyte
3438,HSPC
1592,HSPC
3470,HSPC
417,Monocyte
704,Neutrophil
3661,Monocyte
633,Neutrophil
3330,Neutrophil
417,Neutrophil
3470,HSPC
3945,HSPC
2568,HSPC
4216,Neutrophil
2246,Neutrophil
417,Neutrophil
1440,HSPC
3628,HSPC
2776,HSPC
281,Baso
358,HSPC
5252,HSPC
3111,HSPC
2957,Neutrophil
5480,Monocyte
3041,Monocyte
2331,HSPC
3438,HSPC
5789,HSPC
4287,HSPC
2187,Monocyte
4533,Monocyte
2094,HSPC
5421,Baso
3212,Monocyte
1998,Monocyte
1230,Baso
3871,HSPC
1652,Neutrophil
2370,Neutrophil
4287,Lymphoid
3628,HSPC
3945,HSPC
3364,HSPC
3485,Neutrophil
4406,HSPC
4216,Neutrophil
704,Monocyte
358,HSPC
52,HSPC
3111,Neutrophil
4316,Monocyte
2039,Monocyte
415,Monocyte
1080,HSPC
2011,Neutrophil
4234,Neutrophil
3292,HSPC
4406,HSPC
3958,Monocyte
5783,Monocyte
2039,Monocyte
4913,HSPC
1618,HSPC
1592,HSPC
4862,HSPC
394,Monocyte
4256,Monocyte
3113,HSPC
1592,HSPC
4763,Monocyte
3454,Neutrophil
3353,Baso
4862,HSPC
5081,HSPC
3302,Monocyte
3353,Baso
3485,Neutrophil
4234,Monocyte
2223,Monocyte
1110,HSPC
3438,Monocyte
2011,Neutrophil
1652,HSPC
4287,HSPC
3736,HSPC
1706,HSPC
4662,Monocyte
3438,HSPC
4205,Baso
1146,HSPC
1998,Monocyte
3055,HSPC
2772,Monocyte
67,Monocyte
5404,Monocyte
5789,HSPC
4996,Neutrophil
3529,HSPC
4237,Monocyte
5480,Monocyte
1706,HSPC
5081,HSPC
1683,Monocyte
2772,Neutrophil
3212,Monocyte
2194,Neutrophil
52,HSPC
1592,Monocyte
529,HSPC
1683,Monocyte
4234,Neutrophil
2370,Monocyte
4293,Erythroid
734,Neutrophil
2442,Neutrophil
5252,HSPC
3113,HSPC
2173,Neutrophil
4226,HSPC
3291,Monocyte
801,Monocyte
2370,Monocyte
3258,HSPC
4406,HSPC
2370,Neutrophil
4226,HSPC
1525,Neutrophil
1572,Neutrophil
1114,Neutrophil
4205,Baso
2370,HSPC
1998,Monocyte
3212,Monocyte
4413,Monocyte
3456,HSPC
5791,Baso
1592,HSPC
3569,Neutrophil
67,Monocyte
4234,Monocyte
5480,Monocyte
3302,Monocyte
5725,Neutrophil
